Localidade,Sigla,Fundeb_2019,Fundeb_2018,Fundeb_2017,Fundeb_2016,Fundeb_2015,Fundeb_2014
Acre,AC,"R$ 355.978.268,25","R$ 330.331.122,56","R$ 330.615.527,71","R$ 297.185.391,09","R$ 265.202.367,57","R$ 209.080.920,96"
Alagoas,AL,"R$ 963.662.858,81","R$ 923.003.838,14","R$ 930.319.626,37","R$ 843.716.146,77","R$ 783.668.152,69","R$ 612.088.706,25"
Amapá,AM,"R$ 260.853.317,39","R$ 246.988.692,99","R$ 231.927.259,75","R$ 203.900.372,09","R$ 166.481.051,81","R$ 122.794.098,13"
Amazonas,AP,"R$ 868.104.751,80","R$ 849.438.915,52","R$ 854.792.867,43","R$ 770.432.587,75","R$ 726.798.832,73","R$ 569.804.060,99"
Bahia,BA,"R$ 2.290.027.255,09","R$ 2.173.435.914,43","R$ 2.165.402.155,20","R$ 1.956.763.106,73","R$ 1.745.674.288,15","R$ 1.382.695.247,67"
Ceará,CE,"R$ 1.683.372.878,20","R$ 1.596.687.093,85","R$ 1.623.144.228,61","R$ 1.480.539.348,85","R$ 1.315.197.803,40","R$ 1.019.543.944,40"
Distrito Federal,DF,"R$ 2.079.496.635,36","R$ 2.103.836.183,08","R$ 2.312.634.685,98","R$ 2.140.374.897,81","R$ 1.971.558.737,40","R$ 1.744.164.617,34"
Espírito Santo,ES,"R$ 1.258.805.926,49","R$ 1.215.574.549,03","R$ 1.245.515.424,32","R$ 1.152.048.637,58","R$ 1.069.737.822,57","R$ 843.435.788,29"
Goiás,GO,"R$ 1.602.115.994,80","R$ 1.559.304.999,86","R$ 1.609.566.782,21","R$ 1.442.455.434,13","R$ 1.293.260.919,74","R$ 1.051.086.674,77"
Maranhão,MA,"R$ 1.171.891.509,90","R$ 1.083.088.574,20","R$ 1.082.075.612,75","R$ 958.718.331,53","R$ 833.790.942,16","R$ 655.674.583,94"
Mato Grosso,MG,"R$ 993.335.011,82","R$ 1.005.910.204,29","R$ 1.096.334.358,70","R$ 987.493.692,84","R$ 831.380.057,78","R$ 682.482.675,92"
Mato Grosso do Sul,MS,"R$ 1.029.473.138,14","R$ 979.727.455,51","R$ 979.652.386,15","R$ 852.309.585,20","R$ 769.745.524,13","R$ 639.233.731,16"
Minas Gerais,MT,"R$ 6.967.708.332,39","R$ 6.782.621.000,13","R$ 7.038.507.487,43","R$ 6.638.465.879,10","R$ 5.958.855.842,01","R$ 4.883.727.740,11"
Pará,PA,"R$ 1.909.285.456,94","R$ 1.811.992.249,77","R$ 1.795.956.154,38","R$ 1.570.347.778,90","R$ 1.378.657.267,28","R$ 1.124.286.428,09"
Paraíba,PB,"R$ 1.990.301.714,48","R$ 1.978.395.788,07","R$ 2.104.200.250,18","R$ 1.930.461.471,99","R$ 1.763.210.401,17","R$ 1.391.013.004,44"
Paraná,PR,"R$ 2.427.565.907,94","R$ 2.353.070.002,76","R$ 2.434.649.216,77","R$ 2.230.504.985,49","R$ 2.007.484.496,44","R$ 1.549.775.902,79"
Pernambuco,PE,"R$ 2.204.279.658,45","R$ 2.165.922.475,36","R$ 2.235.851.057,12","R$ 2.073.119.414,36","R$ 1.899.062.964,87","R$ 1.471.828.716,91"
Piauí,PI,"R$ 952.011.007,42","R$ 916.645.790,89","R$ 934.176.206,73","R$ 844.633.924,37","R$ 735.622.244,34","R$ 578.479.700,69"
Rio de Janeiro,RJ,"R$ 6.198.370.886,88","R$ 6.104.948.824,52","R$ 6.394.839.806,73","R$ 5.963.941.471,87","R$ 5.402.535.272,77","R$ 4.370.598.423,20"
Rio Grande do Norte,RN,"R$ 1.763.051.362,61","R$ 1.713.740.775,12","R$ 1.777.833.801,71","R$ 1.656.963.267,02","R$ 1.525.365.348,29","R$ 1.225.385.348,62"
Rio Grande do Sul,RO,"R$ 5.500.600.690,59","R$ 5.340.261.719,80","R$ 5.545.736.568,70","R$ 5.044.704.888,02","R$ 4.566.933.754,71","R$ 3.701.691.745,77"
Rondônia,RR,"R$ 429.056.178,97","R$ 403.762.340,91","R$ 400.981.501,86","R$ 347.245.173,64","R$ 291.444.151,12","R$ 214.549.647,15"
Roraima,RS,"R$ 291.340.873,98","R$ 273.191.456,71","R$ 287.801.408,76","R$ 260.820.158,85","R$ 228.088.817,38","R$ 187.506.424,67"
Santa Catarina,SC,"R$ 1.913.260.478,09","R$ 1.852.948.650,81","R$ 1.895.105.315,88","R$ 1.702.868.253,02","R$ 1.520.265.677,22","R$ 1.346.188.478,09"
São Paulo,SE,"R$ 2.483.745.310,41","R$ 2.375.339.987,57","R$ 2.448.776.637,26","R$ 2.195.403.605,66","R$ 1.933.885.795,39","R$ 1.521.053.448,05"
Sergipe,SP,"R$ 763.119.467,29","R$ 750.926.015,22","R$ 753.033.593,49","R$ 685.558.182,67","R$ 617.490.974,85","R$ 520.896.544,70"
Tocantins,TO,"R$ 551.267.174,21","R$ 509.940.060,98","R$ 518.746.992,76","R$ 464.132.562,96","R$ 406.651.258,14","R$ 336.521.441,78"
Localidade não informada,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Exterior,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Gasto Nacional,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Centro-Oeste,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 212.386.417,72"
Nacional,,"R$ 43.032.606.379,25","R$ 45.679.263.410,96","R$ 50.269.659.425,03","R$ 48.034.372.684,81","R$ 46.199.238.422,45","R$ 43.849.160.428,85"
Nordeste,,"R$ 314.568.043,25","R$ 296.299.347,08","R$ 295.964.353,54","R$ 254.166.059,43","R$ 214.339.945,81","R$ 1.082.881.542,96"
Norte,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 343.700.010,00"
Sudeste,,"R$ 0,00","R$ 0,00","R$ 2.561.846,61","R$ 14.483.674,12","R$ 0,00","R$ 1.071.078.533,20"
Sul,,"R$ 224.735.035,69","R$ 213.874.110,80","R$ 219.273.467,88","R$ 186.355.072,00","R$ 179.073.522,37","R$ 389.020.930,00"
Total,,"R$ 94.473.991.504,89","R$ 95.590.471.550,92","R$ 101.815.636.008,00","R$ 95.184.486.040,65","R$ 88.600.702.656,74","R$ 80.903.815.907,61"
